snap_index,cam0x,cam0y,cam1x,cam1y,cam3x,camy3,robx,roby,robz
196,0.590625,0.44166666666666665,0.4734375,0.3395833333333333,0.4765625,0.4729166666666666,-0.010382026,-0.22903898,-0.2642876
197,0.5671875,0.40208333333333335,0.4703125,0.3541666666666667,0.534375,0.4208333333333333,-0.051475592,-0.16630782,-0.23715837
198,0.5734375,0.3458333333333333,0.4484375,0.37083333333333335,0.5796875,0.40208333333333335,-0.13920143,-0.113517344,-0.20538299
199,0.571875,0.29791666666666666,0.425,0.3895833333333333,0.6203125,0.39166666666666666,-0.21929936,-0.06215935,-0.17740065
200,0.5796875,0.26875,0.4015625,0.4083333333333333,0.65,0.3854166666666667,-0.287321,-0.032334715,-0.16495161
201,0.5921875,0.2604166666666667,0.3859375,0.41041666666666665,0.6625,0.3875,-0.31506494,-0.037354827,-0.16064428
202,0.603125,0.2604166666666667,0.3703125,0.4208333333333333,0.6734375,0.4,-0.34392804,-0.039971955,-0.16615324
203,0.6109375,0.2708333333333333,0.35625,0.44166666666666665,0.6765625,0.41875,-0.37228125,-0.038111,-0.18384196
204,0.6265625,0.30416666666666664,0.346875,0.4625,0.684375,0.44583333333333336,-0.38061434,-0.058182452,-0.22067985
205,0.6265625,0.3145833333333333,0.34375,0.48125,0.6953125,0.4729166666666666,-0.39475507,-0.049042102,-0.2376843
206,0.63125,0.32916666666666666,0.340625,0.4895833333333333,0.68125,0.5041666666666667,-0.39616528,-0.05752061,-0.2531177
207,0.6375,0.34375,0.334375,0.4979166666666667,0.6875,0.5083333333333333,-0.40013617,-0.06763844,-0.26793376
208,0.6359375,0.33541666666666664,0.3296875,0.50625,0.696875,0.50625,-0.41943482,-0.052841615,-0.265326
209,0.6359375,0.32916666666666666,0.325,0.5166666666666667,0.7046875,0.5041666666666667,-0.43991187,-0.03851099,-0.26577535
210,0.6390625,0.32083333333333336,0.31875,0.5041666666666667,0.709375,0.4958333333333334,-0.43979484,-0.049187277,-0.2525186
211,0.6453125,0.3145833333333333,0.31875,0.4833333333333333,0.7109375,0.4770833333333334,-0.42527387,-0.06916013,-0.2385083
212,0.6484375,0.3125,0.31875,0.4583333333333333,0.70625,0.4708333333333333,-0.40121764,-0.09566124,-0.2240445
213,0.6484375,0.30625,0.315625,0.4541666666666666,0.7015625,0.4520833333333333,-0.40421113,-0.09590307,-0.2164516
214,0.653125,0.28958333333333336,0.3125,0.4583333333333333,0.7015625,0.4520833333333333,-0.42831475,-0.08134171,-0.20845799
215,0.65,0.2791666666666667,0.3109375,0.46875,0.703125,0.44166666666666665,-0.44842926,-0.060103256,-0.20580311
216,0.6484375,0.27291666666666664,0.3078125,0.4625,0.7015625,0.4354166666666667,-0.44865495,-0.061887417,-0.19671716
217,0.65,0.27291666666666664,0.3109375,0.4541666666666666,0.7,0.4375,-0.43799004,-0.07021697,-0.19341904
218,0.6484375,0.2916666666666667,0.315625,0.4645833333333334,0.7046875,0.4520833333333333,-0.42861778,-0.07231888,-0.21263756
219,0.640625,0.325,0.3328125,0.475,0.6859375,0.5020833333333333,-0.39443022,-0.07837307,-0.24319045
220,0.6421875,0.37083333333333335,0.35625,0.4520833333333333,0.63125,0.5270833333333333,-0.31194952,-0.13279766,-0.26760715
221,0.6484375,0.4125,0.378125,0.4125,0.5734375,0.5333333333333333,-0.21805656,-0.20444313,-0.28077763
222,0.65625,0.4583333333333333,0.4109375,0.375,0.5015625,0.5416666666666666,-0.115220614,-0.27334037,-0.3012761
223,0.659375,0.5166666666666667,0.440625,0.32083333333333336,0.4171875,0.5479166666666667,0.016961647,-0.36955667,-0.31825906
224,0.6328125,0.5833333333333334,0.4421875,0.25625,0.34375,0.5395833333333333,0.1614648,-0.4800468,-0.31747705
225,0.5765625,0.6375,0.528125,0.2625,0.2984375,0.5166666666666667,0.296274,-0.44736063,-0.3606708
226,0.50625,0.6666666666666666,0.590625,0.2520833333333333,0.290625,0.49375,0.41603547,-0.4137426,-0.36723214
227,0.4390625,0.6583333333333333,0.61875,0.2520833333333333,0.271875,0.44166666666666665,0.46394974,-0.35448727,-0.34620324
228,0.371875,0.6125,0.65,0.2479166666666667,0.2921875,0.40208333333333335,0.48499668,-0.2659755,-0.2991606
229,0.3234375,0.55625,0.675,0.2625,0.325,0.36041666666666666,0.46237797,-0.16201292,-0.26026833
230,0.253125,0.46875,0.7234375,0.3104166666666667,0.375,0.3333333333333333,0.40359622,0.027455432,-0.21864142
231,0.25625,0.4041666666666667,0.721875,0.35,0.4515625,0.30416666666666664,0.3005426,0.12359801,-0.19854043
232,0.275,0.35625,0.7078125,0.38125,0.4703125,0.3,0.20384026,0.18083903,-0.18676239
233,0.325,0.3416666666666667,0.6734375,0.38125,0.49375,0.30625,0.1401152,0.14890172,-0.18463768
234,0.39375,0.3333333333333333,0.625,0.36666666666666653,0.4984375,0.32916666666666666,0.07770729,0.07835804,-0.18108903
235,0.428125,0.3458333333333333,0.56875,0.3375,0.4875,0.36666666666666653,0.060426064,-0.010171361,-0.16988914
